"","document_name","Text","author","author_type","date_constructed","probability","year","additional_info","unique_ID","topic_name_short","author_category","nra_group","sentiment","energy_crisis","manual_annotation","paradigm_aspect"
"1","17_NRA Report_Italy_EN_Cropped.json","Over the course of 2016 the Italian Regulatory Authority for Electricity, Gas and Water continued to collaborate with other European regulators at both the multilateral level, through the Agency for the Cooperation of Energy Regulators (ACER), the Council of European Energy Regulators (CEET) and regional initiatives, and through bilateral meetings organised specifically to expand the discussion on issues of common interest. This activity involves the establishment of transparent and effective rules for the promotion of a competitive and efficient integrated European energy market, as required by the Third Energy Package. Furthermore, as in previous years, the Authority continued to provide impetus to its own international commitment, maintaining its dialogue and multilateral and bilateral institutional cooperation, to promote the harmonisation of European rules with those of countries that, although not part of the European Union, are important interlocutors in the energy sector. In particular, it promoted actions to strengthen its role as a key regulator in the Balkans and in the Mediterranean basin, which represent geographical areas of prime importance for the Italian energy system.","NRA Report","Italy",2017-01-01,0,2017,NA,21713,"ACER CEER ENTSO","Regulators","Southern Europe",NA,0,FALSE,"liberal_institutions"
"2","240613_EP and Council_Regulation_OJ_L_202401789_EN_TXT.json","Where applicable, Member States, and stakeholders referred to in the first subparagraph shall submit and make publicly available their recommendations and the European Scientific Advisory Board on Climate Change shall submit and make publicly available its opinion to the Agency and, as applicable, to the ENTSO for Electricity or the ENNOH.","EP & Council","Regulation",2024-06-13,0,2024,"OJ_L_202401789_EN_TXT.json",10227,"ACER CEER ENTSO","EU Institutions","Other",NA,0,FALSE,"liberal_institutions"
"3","20_NRA Report_Portugal_EN_for 19_Cropped.json","This report complies with the provisions of Directives 2009/72/EC (electricity) and 2009/73/EC (natural gas) of the European Parliament and of the Council. These Directives dictate that regulators must annually inform national authorities, the European Commission and the Agency for the Cooperation of Energy Regulators (ACER) on its activities and on any developments observed in the electricity and natural gas markets.","NRA Report","Portugal",2020-01-01,0.867371629044621,2020,"for 19",28415,"ACER CEER ENTSO","Regulators","Southern Europe",NA,0,FALSE,"liberal_institutions"
"4","240400_OIES_From natural gas to hydrogen what are the rules for European gas network decarbonisation and do they ensure flexibility and security of supply.json","Groups on 16 June 2023.142 (<>)On 28 June 2023 the Groups decision-making bodies  composed of Member States and the EC  agreed on which projects to include in the draft regional lists. The TEN-E Regulation required the draft regional lists to be submitted six months before the 30 November 2023 deadline for the adoption of the EU list to ACER, which was obliged to issue an Opinion on the draft regional lists  in particular, on the consistent application of the criteria and the CBA across regions  within three months (Annex III.2(14)). The draft regional lists were submitted to ACER by the EC on 12 July 2023.","OIES",NA,2024-04-01,0,2024,"From natural gas to hydrogen what are the rules for European gas network decarbonisation and do they ensure flexibility and security of supply",54123,"ACER CEER ENTSO","Thinktanks","Other",NA,1,FALSE,"liberal_institutions"
"5","16_NRA Report_UK_EN_Cropped.json","The next year will again be a very busy period for Ofgem. We will continue with steps to implement the package of remedies recommended by the CMA, while also ensuring implementation the European Network Codes and promoting the values of flexibility and demand side response. We will also continue our work on flexibility, and expect to","NRA Report","UK",2016-01-01,0,2016,NA,20412,"ACER CEER ENTSO","Regulators","Western Europe",NA,0,FALSE,"liberal_instruments"
"6","150302_Commission_Communication_cellar_8d555991-c0d7-11e4-bbe1-01aa75ed71a1.0020.02_DOC_2_Corrigendum.json","Consequently the Commission intends to pursue the above recommendations via two separate work streams. Firstly, it intends to set up  together with ACER and ENTSOs  permanent monitoring of the implementation of the short-term recommendations and provide  where necessary  assistance in facilitating or driving forwards projects and discussions. Furthermore, it will continue working with Member States, the European Parliament and stakeholders to define the key objectives of security of electricity and gas supply for the EU in the years to come.","Commission","Communication",2015-03-02,0,2015,"cellar_8d555991-c0d7-11e4-bbe1-01aa75ed71a1.0020.02_DOC_2_Corrigendum.json",6276,"ACER CEER ENTSO","EU Institutions","Other",NA,0,FALSE,"liberal_institutions"
"7","14_NRA Report_Hungary_EN_for 13_Cropped.json","The Authority regularly cooperates with EU member states in the co-operational organisations of regulatory bodies of the European Union member states. These include the Council of European Energy Regulators (CEER), which is organised on a voluntary basis with the aim to exchange regulatory experiences and to develop common European regulatory positions in energy issues. The Agency for the Cooperation of Energy Regulators (ACER) is an official body of the EU (established under Regulation [EC] No 713/2009), with functions including the development of rules to foster the formation of a single internal European energy market through the coordination of close cooperation between national regulatory authorities. The Authority actively participates in the work of both of these organisations in relevant areas by taking part in the elaboration of legal provisions, resolutions and publications or assisting the bodies with its comments.","NRA Report","Hungary",2014-01-01,0.869894481725978,2014,"for 13",15006,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"8","21_NRA Report_Finland_EN_for 20_Cropped.json","This national report is prepared by the Energy Authority to the Agency for the Cooperation of Energy Regulators and to the European Commission on the state of the Finnish electricity and natural gas markets as required by Article 59(1)(i) of the Directive for the Internal Market in Electricity (2019/944/EC) and Article 41(1)(e) of the Directive for the Internal Market in Natural Gas (2009/73/EC).","NRA Report","Finland",2021-01-01,0,2021,"for 20",29276,"ACER CEER ENTSO","Regulators","Northern Europe",NA,0,FALSE,"liberal_institutions"
"9","19_NRA Report_Romania_EN_for 18_Cropped.json","In the period between 9 July  14 September 2018, ANRE resumed the process of public consultation, discussing the new information published. After the completion of the consultation process, to observe the provisions of art. 26 para. (3) of (EU) Regulation 2017/460, ANRE published on the internet page of the institution the observations received following the public consultation and transitted them to ACER. In accordance with the provisions of art. 27 para. (3) of (EU) Regulation 2017/460, ACER sent to ANRE and the European Commission, and published on its own website, the result of the analysis ended on 12 November 2018, carried out by ACER in accordance with the provisions of art. 27 para.","NRA Report","Romania",2019-01-01,0.883602598597328,2019,"for 18",26813,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"10","16_ACER_Report_for15","The joint publication of the Agency for the Cooperation of Energy Regulators and the Council of European Energy Regulators is protected by copyright. The Agency for the Cooperation of Energy Regulators and the Council of European Energy Regulators accept no responsibility or liability for any consequences arising from the use of the data contained in this document.","ACER","Report",2016-01-01,0,2016,"for15",1172,"ACER CEER ENTSO","Regulators","Other",NA,0,FALSE,"liberal_institutions"
